Name, Gender, Price, Sale Price, Colors, Item link, Image link, Sub category, Brand
Solano Coat Women's, Women, $320.00, $N/A, Inertia || Black || Cobalt Moon || , https://arcteryx.com/ca/en/shop/womens/solano-coat#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Solano-Coat-W-Inertia.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Solano Hoody Women's, Women, $280.00, $N/A, Momentum || Stratosphere || Dimma || , https://arcteryx.com/ca/en/shop/womens/solano-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Solano-Hoody-W-Stratosphere.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Zeta FL Jacket Women's, Women, $420.00, $N/A, Black || Bioprism || , https://arcteryx.com/ca/en/shop/womens/zeta-fl-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Zeta-FL-Jacket-W-Bioprism.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Zeta SL Jacket Women's, Women, $380.00, $N/A, Black || Cobalt Moon || Zephyr || Quantum || Dark Inertia || Helix || , https://arcteryx.com/ca/en/shop/womens/zeta-sl-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Zeta-SL-Jacket-W-Dark-Inertia.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Squamish Hoody Women's, Women, $200.00, $N/A, Black || Bioprism || Exosphere || Quantum || Hyperspace || Labyrinth || , https://arcteryx.com/ca/en/shop/womens/squamish-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Squamish-Hoody-W-Labyrinth.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Sigma SL Anorak Women's, Women, $200.00, $N/A, Portal || Labyrinth || , https://arcteryx.com/ca/en/shop/womens/sigma-sl-anorak#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Sigma-SL-Anorak-W-Labyrinth.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Gamma LT Hoody Women's, Women, $300.00, $N/A, Black || Antenna || Astral || Hyperspace || , https://arcteryx.com/ca/en/shop/womens/gamma-lt-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Gamma-LT-Hoody-W-Hyperspace.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Gamma SL Hoody Women's, Women, $220.00, $N/A, Inertia || Black || Symbiome || Astral || Cobalt Moon || , https://arcteryx.com/ca/en/shop/womens/gamma-sl-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Gamma-SL-Hoody-W-Astral.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Nodin Jacket Women's, Women, $200.00, $N/A, Inertia || Astral || Synapse || Cobalt Moon || Technium || , https://arcteryx.com/ca/en/shop/womens/nodin-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Nodin-Jacket-W-Technium.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Cita Hoody Women's, Women, $170.00, $N/A, Hubble || Black || Antenna || Dynasty || , https://arcteryx.com/ca/en/shop/womens/cita-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cita-Hoody-W-Antenna.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Cita SL Jacket Women's, Women, $160.00, $N/A, Light Dakini || Technium || Holograph || , https://arcteryx.com/ca/en/shop/womens/cita-sl-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cita-SL-Jacket-W-Technium.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Cita Vest Women's, Women, $120.00, $N/A, Black || , https://arcteryx.com/ca/en/shop/womens/cita-vest#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cita-Vest-W-Black.jpg?auto=format&amp;w=1350, shell_jackets, Arc'teryx
Atom LT Hoody Women's, Women, $320.00, $N/A, Momentum || Black || Bioprism || Zephyr || Helix || Kingfisher || Sundance || Dynasty || , https://arcteryx.com/ca/en/shop/womens/atom-lt-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Atom-LT-Hoody-W-Zephyr.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Atom LT Jacket Women's, Women, $300.00, $N/A, Black || Helix || Kingfisher || Sundance || , https://arcteryx.com/ca/en/shop/womens/atom-lt-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Atom-LT-Jacket-W-Helix.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Patera Parka Women's, Women, $800.00, $N/A, Macrame || Ultima || Megacosm || Black || Aeroponic ||  || , https://arcteryx.com/ca/en/shop/womens/patera-parka#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Patera-Parka-W-Ultima.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Cerium LT Hoody Women's, Women, $450.00, $N/A, Black || Bioprism || Paradox || Rhapsody || Quantum || Whiskey Jack || Helix || Dynasty || , https://arcteryx.com/ca/en/shop/womens/cerium-lt-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cerium-LT-Hoody-W-Dynasty.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Seyla Coat Women's, Women, $600.00, $N/A, Ultima || Megacosm || Black || Dark Aeroponic || , https://arcteryx.com/ca/en/shop/womens/seyla-coat#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Seyla-Coat-W-Ultima.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Nuri Coat Women's, Women, $550.00, $N/A, Jute || Black || Cosmic || , https://arcteryx.com/ca/en/shop/womens/nuri-coat#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Nuri-Coat-W-Cosmic.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Durant Coat Women's, Women, $700.00, $N/A, Jute || Ultima || Black || Cobalt Moon ||  || , https://arcteryx.com/ca/en/shop/womens/durant-coat#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Durant-Coat-W-Ultima.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Centrale Parka Women's, Women, $1000.00, $N/A, Megacosm || Inertia || Black || , https://arcteryx.com/ca/en/shop/womens/centrale-parka#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Centrale-Parka-W-Megacosm.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Shashka IS Jacket Women's, Women, $850.00, $N/A, Anti-Gravity || Paradox || Quantum ||  || , https://arcteryx.com/ca/en/shop/womens/shashka-is-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Shashka-IS-Jacket-W-Quantum.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Cerium LT Jacket Women's, Women, $430.00, $N/A, Momentum || Black || Paradox || , https://arcteryx.com/ca/en/shop/womens/cerium-lt-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cerium-LT-Jacket-W-Paradox.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Cerium SV Hoody Women's, Women, $670.00, $N/A, Enigma || Rhapsody || Ellipse || , https://arcteryx.com/ca/en/shop/womens/cerium-sv-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cerium-SV-Hoody-W-Ellipse.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Firebee AR Parka Women's, Women, $1200.00, $N/A, Rhapsody || , https://arcteryx.com/ca/en/shop/womens/firebee-ar-parka#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Firebee-AR-Parka-W-Rhapsody.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Nuclei FL Jacket Women's, Women, $350.00, $N/A, Ultralush || Exosphere || Hyperspace || , https://arcteryx.com/ca/en/shop/womens/nuclei-fl-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Nuclei-FL-Jacket-W-Exosphere.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Andessa Jacket Women's, Women, $1100.00, $N/A, Black || Fusion || Dark Inertia ||  || , https://arcteryx.com/ca/en/shop/womens/andessa-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Andessa-Jacket-W-Fusion.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Thorium AR Hoody Women's, Women, $400.00, $N/A, Enigma || Momentum || Black || Zephyr || Kingfisher || , https://arcteryx.com/ca/en/shop/womens/thorium-ar-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Thorium-AR-Hoody-W-Zephyr.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Fission SV Jacket Women's, Women, $800.00, $N/A, Black || Rhapsody ||  || , https://arcteryx.com/ca/en/shop/womens/fission-sv-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Fission-SV-Jacket-W-Rhapsody.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Atom AR Hoody Women's, Women, $370.00, $N/A, Black || Paradox || Rhapsody || Ellipse || , https://arcteryx.com/ca/en/shop/womens/atom-ar-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Atom-AR-Hoody-W-Ellipse.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Proton LT Hoody Women's, Women, $350.00, $N/A, Enigma || Black || Rhapsody || Ellipse || Dynasty || , https://arcteryx.com/ca/en/shop/womens/proton-lt-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Proton-LT-Hoody-W-Dynasty.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Cerium SL Hoody Women's, Women, $400.00, $N/A, Dakini || Black || Astral || Hyperspace || , https://arcteryx.com/ca/en/shop/womens/cerium-sl-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cerium-SL-Hoody-W-Hyperspace.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Nexis Jacket Women's, Women, $300.00, $N/A, Momentum || Black || Cinder || Cosmic || , https://arcteryx.com/ca/en/shop/womens/nexis-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Nexis-Jacket-W-Momentum.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Semira Jacket Women's, Women, $270.00, $N/A, Ultima || Black || Cosmic || , https://arcteryx.com/ca/en/shop/womens/semira-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Semira-Jacket-W-Ultima.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Norvan SL Insulated Hoody Women's, Women, $550.00, $N/A, Black/Momentum || Black/Black ||  || , https://arcteryx.com/ca/en/shop/womens/norvan-sl-insulated-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Norvan-SL-Insulated-Hoody-W-Black-Momentum.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Atom SL Hoody Women's, Women, $260.00, $N/A, Synapse || Cobalt Moon || Ellipse || Astro Eden || , https://arcteryx.com/ca/en/shop/womens/atom-sl-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Atom-SL-Hoody-W-Synapse.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Proton FL Hoody Women's, Women, $330.00, $N/A, Portal || Stratosphere || Cobalt Moon || , https://arcteryx.com/ca/en/shop/womens/proton-fl-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Proton-FL-Hoody-W-Stratosphere.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Gaea Jacket Women's, Women, $250.00, $N/A, Enigma || Rhapsody || , https://arcteryx.com/ca/en/shop/womens/gaea-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Gaea-Jacket-W-Rhapsody.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Cerium LT Vest Women's, Women, $340.00, $N/A, Black || Rhapsody || Helix || , https://arcteryx.com/ca/en/shop/womens/cerium-lt-vest#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Cerium-LT-Vest-W-Rhapsody.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Nexis Vest Women's, Women, $230.00, $N/A, Macrame || Black || Cosmic || , https://arcteryx.com/ca/en/shop/womens/nexis-vest#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Nexis-Vest-W-Macrame.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Atom LT Vest Women's, Women, $250.00, $N/A, Momentum || Black || , https://arcteryx.com/ca/en/shop/womens/atom-lt-vest#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Atom-LT-Vest-W-Momentum.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Atom SL Vest Women's, Women, $200.00, $N/A, Dakini || Synapse || Cobalt Moon || , https://arcteryx.com/ca/en/shop/womens/atom-sl-vest#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Atom-SL-Vest-W-Synapse.jpg?auto=format&amp;w=1350, insulated_jackets, Arc'teryx
Kyanite LT Hoody Women's, Women, $180.00, $N/A, Dakini || Black || Bioprism || Astral || Cobalt Moon || Astro Eden || , https://arcteryx.com/ca/en/shop/womens/kyanite-lt-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Kyanite-LT-Hoody-W-Cobalt-Moon.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Kyanite Hoody Women's, Women, $220.00, $N/A, Enigma || Momentum || Black || Zephyr || Quantum || Ellipse || Labyrinth || , https://arcteryx.com/ca/en/shop/womens/kyanite-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Kyanite-Hoody-W-Momentum.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Delta MX Hoody Women's, Women, $250.00, $N/A, Stratosphere || Astro Eden || Labyrinth || , https://arcteryx.com/ca/en/shop/womens/delta-mx-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Delta-MX-Hoody-W-Stratosphere.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Delta MX 1/2 Zip Hoody Women's, Women, $230.00, $N/A, Stratosphere || Astro Eden || , https://arcteryx.com/ca/en/shop/womens/delta-mx-1-2-zip-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Delta-MX-1-2-Zip-Hoody-W-Astro-Eden.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Covert Vest Women's, Women, $170.00, $N/A, Black Heather || Origami Heather || , https://arcteryx.com/ca/en/shop/womens/covert-vest#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Covert-Vest-W-Origami-Heather.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Covert Sweater Women's, Women, $150.00, $N/A, Inspire Heather || Cinder Heather || Exosphere Heather || Inertia Heather || , https://arcteryx.com/ca/en/shop/womens/covert-sweater#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Covert-Sweater-W-Inertia-Heather.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Covert Cardigan Women's, Women, $200.00, $N/A, Arbour Heather || Athena Grey Heather || Black Heather || Origami Heather || Whiskey Jack Heather || Exosphere Heather || Aeroponic Heather || Inertia Heather || , https://arcteryx.com/ca/en/shop/womens/covert-cardigan#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Covert-Cardigan-W-Black-Heather.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Covert Hoody Women's, Women, $220.00, $N/A, Athena Grey Heather || Black Heather || Origami Heather || Exosphere Heather || Inertia Heather || , https://arcteryx.com/ca/en/shop/womens/covert-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Covert-Hoody-W-Inertia-Heather.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Delta LT Jacket Women's, Women, $150.00, $N/A, Black || Cobalt Moon || Rhapsody || Helix || Sundance || , https://arcteryx.com/ca/en/shop/womens/delta-lt-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Delta-LT-Jacket-W-Helix.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Delta LT Zip Neck Women's, Women, $120.00, $N/A, Black || Synapse || Rhapsody || , https://arcteryx.com/ca/en/shop/womens/delta-lt-zip-neck#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Delta-LT-Zip-Neck-W-Rhapsody.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Delta LT Hoody Women's, Women, $170.00, $N/A, Black || Cobalt Moon || Rhapsody || Sundance || , https://arcteryx.com/ca/en/shop/womens/delta-lt-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Delta-LT-Hoody-W-Sundance.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Kyanite Vest Women's, Women, $160.00, $N/A, Enigma || Black || , https://arcteryx.com/ca/en/shop/womens/kyanite-vest#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Kyanite-Vest-W-Enigma.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Kyanite LT Jacket Women's, Women, $160.00, $N/A, Dakini || Black || Astral || , https://arcteryx.com/ca/en/shop/womens/kyanite-lt-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Kyanite-LT-Jacket-W-Astral.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Kyanite Jacket Women's, Women, $200.00, $N/A, Enigma || Momentum || Black || , https://arcteryx.com/ca/en/shop/womens/kyanite-jacket#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Kyanite-Jacket-W-Enigma.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Laina Sweater Women's, Women, $150.00, $N/A, Antenna Heather || Symbiome Heather || Carbon Copy Heather || , https://arcteryx.com/ca/en/shop/womens/laina-sweater#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Laina-Sweater-W-Antenna-Heather.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Laina Cardigan Women's, Women, $200.00, $N/A, Antenna Heather || Carbon Copy Heather || , https://arcteryx.com/ca/en/shop/womens/laina-cardigan#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Laina-Cardigan-W-Antenna-Heather.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Fortrez Hoody Women's, Women, $300.00, $N/A, Carbon Copy || , https://arcteryx.com/ca/en/shop/womens/fortrez-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Fortrez-Hoody-W-Carbon-Copy.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Rho AR Zip Neck Women's, Women, $160.00, $N/A, Black || Paradox || Rhapsody || Helix || , https://arcteryx.com/ca/en/shop/womens/rho-ar-zip-neck#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Rho-AR-Zip-Neck-W-Rhapsody.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Rho AR Bottom Women's, Women, $140.00, $N/A, Black || Rhapsody || , https://arcteryx.com/ca/en/shop/womens/rho-ar-bottom#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Rho-AR-Bottom-W-Rhapsody.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Rivet Glove, Women, $80.00, $N/A, Black || , https://arcteryx.com/ca/en/shop/rivet-glove#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Rivet-Glove-Black.jpg?auto=format&amp;w=1350, fleece, Arc'teryx
Vertices Hoody Women's, Women, $130.00, $N/A, Paradox || Sundance || , https://arcteryx.com/ca/en/shop/womens/vertices-hoody#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Vertices-Hoody-W-Sundance.jpg?auto=format&amp;w=1350, base_layer, Arc'teryx
Tolu Top LS Women's, Women, $70.00, $N/A, Momentum || Black || Bioprism || Sundance || , https://arcteryx.com/ca/en/shop/womens/tolu-top-ls#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Tolu-Top-LS-W-Bioprism.jpg?auto=format&amp;w=1350, base_layer, Arc'teryx
Rho LT Zip Neck Women's, Women, $120.00, $N/A, Momentum || Black || Cobalt Moon || Zephyr || Sundance || , https://arcteryx.com/ca/en/shop/womens/rho-lt-zip-neck#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Rho-LT-Zip-Neck-W-Momentum.jpg?auto=format&amp;w=1350, base_layer, Arc'teryx
Rho AR Zip Neck Women's, Women, $160.00, $N/A, Black || Paradox || Rhapsody || Helix || , https://arcteryx.com/ca/en/shop/womens/rho-ar-zip-neck#clickcode=281-335-5200, https://images-dynamic-arcteryx.imgix.net/F20/1350x1710/Rho-AR-Zip-Neck-W-Rhapsody.jpg?auto=format&amp;w=1350, base_layer, Arc'teryx
